id_resto,amount_pictures,average_price,features,description
13,24,"$$ ($20 to $30), $$$ ($30 to $45)",,"A blend of fine French cuisine and modern Montreal gastronomy
To offer an inventive twist on authentic European cuisine, we infused French traditions—market-fresh products, culinary techniques and impeccable service⁠—with forward-thinking Montreal cuisine. In a decor inspired by iconic Parisian brasseries, savour our specialties de la maison such as fish, seafood, steak, chicken, seasonal vegetables and fine cheeses.
A summer terrace and the ambience of a Parisian brasserie in Old Montreal
The elegant and intimate dining room bathed in natural light perfectly complements the culinary experience that awaits you. On warmer days, the lush terrace, located on the vibrant De la Commune Street, is open from noon to night.show more"
14,27,$$ ($20 to $30),,"Discover reinvented cuisine and daring recipes that combine elegance with modernity…At the Gourmeyeur boutique, you will find a wide choice of dishes every day to eat in or to take away. Our varied menu of fresh cooked products will delight the most discerning gourmets. Also take advantage of private chef and high-end catering services to celebrate at home. Breaking away from everyday life while enjoying flavor and health, that’s the Gourmeyeur experience.All our prepared dishes, as beautiful as they are delicious, are a poetic invitation, an unexpected and colorful journey of flavors.A real pleasure for all the senses…All desires, from the most refined to the easiest to take with you.show more"
15,20,"$$ ($20 to $30), $$$ ($30 to $45)",,"Located in an ancestral home built in 1895 in the heart of Old Sainte-Rose, Restaurant Amato serves authentic Italian cuisine in an intimate setting with warm décor. We are especially proud of our terrace which is known as one of the most beautiful terraces in Laval, or even in Quebec. In addition to feeling amazed in a garden with so many beautiful flowers, the terrace also has a fountain, a gazebo and auxiliary heating. Come enjoy our little corner of paradise!show more"
16,20,"$$ ($20 to $30), $$$ ($30 to $45)",,"Rotisserie Panama touches all 5 senses: mouth-watering taste on your palate, the vision of a modern Greek-Isle décor, the finger-licking touch of our famous grilled chicken, lamb chops and fish, the music and sounds of Greece, as well as the aromas of beautifully crafted and artistically presented dining creations.   With our tantalizing flavors of the Mediterranean, we, at Panama, take great pride in serving only the freshest food. All produce is bought daily to ensure quality, freshness, and only the best.   We offer our clients a unique and unforgettable dining experience. Recreating the traditional Greek way, Panama fosters a concept of family style dining and sharing. Our contemporary menu is skillfully created to cater to everyone’s tastes and is great for big groups and families. We also offer an extensive wine list with a wide selection to please all.   If you are ready to make unforgettable memories, come by and visit us, where a good time and an exceptional experience are guaranteed. Panama’s only goal is to make sure that everyone leaves completely satisfied and happy.show more"
17,36,$$$ ($30 to $45),,"Offering authentic and freshly prepared Oriental cuisine in the Montreal region.  Enjoy a cozy and friendly atmosphere that is set to warm your senses with a menu sure to please everyone.  We remain dedicated to providing an ultimate dining experience with great food and great service.Our mission is to offer fascinating and delicious food of a very high quality.  Our menu features a range of authentic Thai dishes sure to please even the most discerning diner.  Each meal is prepared and cooked fresh upon ordering to offer you the most flavorful of kosher ingredients.When it comes to vegetarian dishes, we make it possible for many of our recipes to be converted to vegetarian or vegan without destroying the original taste of our wonderful food.show more"
18,20,"$$ ($20 to $30), $$$ ($30 to $45)",,"La Boqueria is a tapas bar in Old Montreal where warm atmosphere and Mediterranean authenticity meet. From fresh seafood to Iberian cold meats and paellas, Boqueria will take you on a journey with every bite.show more"
19,7,"$ (less than $20), $$ ($20 to $30)",,"Rotisserie Chalet Bar-B-Q opened its doors in August 1944. Over the years we have built a legendary reputation for the best roast chicken in the world. This really is the connoisseur's choice! We selectively buy wholesale chicken, always fresh and plump. Our chickens are slowly roasted in brick kilns on real maple charcoal. We ensure that all our chickens are gold and crisp on the outside, tender and juicy on the inside. When served with our famous home-made dipping sauce, nothing compares. Simply delicious. Bon Appetit!show more"
20,20,$ (less than $20),,PROVEN FAST FOOD CHAIN IN THE QUÉBEC REGION. YOU WILL BE AMAZED WITH THE QUALITY WE OFFER. COME AND ENJOY THE BEST SERVICE! BON APPETIT!show more
21,8,"$$ ($20 to $30), $$$ ($30 to $45)",,"Welcome to Restaurant Le Côte What is Le Côte ? Le Côte is the ideal place to enjoy grilled meats, seafood or local cuisine just prior to attending performances at the Cabaret Eastman. Set in the 4gb complex, Le Côte is now neighbor to Cabaret Eastman. The Menu Le Côte will make you live a unique experience with its fresh and high quality meats and seafood. Our mouth-watering selection of USDA Prime Dry Aged meat procured from the largest Boucher store in Montreal has a taste and texture that is unique and delicious. Our cuts and portions are generous and the sides are accompanied to ensure you have the best dining experience each time.show more"
22,13,"$$$ ($30 to $45), $$$$ (over $45)",,"East Pan-Asian Restaurant serves cuisine in a modern and eclectic decor reminiscent in some details of the effervescent days of old Shanghai.Born from a very personal approach by owner restaurateurs, the concept of the East was developed with the intention of introducing customers to favorite dishes. Each dish on the menu is distinguished by its flavor and history depending on its country of origin.  All lovers of Asian cuisine will be happy to remember them or simply discover them for the first time.The East is also the perfect place to gather with friends and work colleagues after a busy day to enjoy a cocktail menu that invites travel.  Developed by Lawrence Picard, the menu offers classics and creations with an “Old Shanghai” touch.  Also being the restaurant of the Renaissance Montreal Hotel, the East offers hearty breakfasts (traditional and a selection of Dim Sum) every day of the week.show more"
23,38,$ (less than $20),,"Indian Takeout Restaurant
At Curry Karim, we take pride in being the go-to restaurant in Montreal, offering a delectable selection of authentic Indian dishes. With our commitment to using fresh, locally sourced ingredients and traditional recipes, Curry Karim Take out brings the vibrant flavors of India to the multicultural city of Montreal.show more"
24,24,"$ (less than $20), $$ ($20 to $30)",,"ZIBO! Restaurant-Bars offer a mouth-watering California cuisine featuring salads, pizza, pasta, grilled dishes, fish, succulent desserts as well as a generous wine list. Whether enjoying a drink at the bar, a meal in the dining room or in a private setting, a romantic lunch for two, an outing with friends and family, a business dinner or even a hopping happy hour, customers appreciate the warm and trendy atmosphere of ZIBO! Restaurant-Bars.show more"
25,72,$$ ($20 to $30),,"Pizzeria Gusto offers you the taste of Italy through the ingredients and methods used in all our dishes, ranging from homemade pasta, fish, pizzas of all kinds.  It will be an unforgettable experience at all times.  Make it your choice for an evening with the whole family.  For those who like to eat, laugh and surrender, come and share our passion for the greatest pleasure of life: good food!show more"
26,33,$ (less than $20),,"Bistro l'Evidence welcomes you in a warm and intimate French-style Brasserie. Located in the heart of Montreal, on St-Denis Street between le Plateau Mont-Royal and the Latin Quarter, this is the perfect place to start the day with a breakfast of champions or to start the evening with quality flavors. L'Evidence offers a complete menu, a la carte as well as table d'hôte. We prepare traditional and healthy recipes with fresh products, regularly varying our table d'hôte based on market arrivals. Enjoy a fresh, original, contemporary cuisine whose variety will appeal to everyone. Our chefs pay special attention to the preparation of dishes that are on offered each day, to ensure that the culinary artworks mingled with the friendly atmosphere meet your expectations, both in terms of quantity and quality. The outdoor terrace in the heart of Le Plateau and the segmentation of the interior room make it an ideal location both for brunch or to organize private and professional events. Thus, whether for a stopover, a lunch, a dinner, a drink or even for a group celebration, here you will find the what you need.show more"
27,25,$$ ($20 to $30),,"Portuguese Grill chicken since 1974!
This increasingly popular Portuguese grill, restaurant Jano, for many years has been offering a refreshing sanctuary in the most animated section of the Main. Serving the same country cuisine and earning a reputation for their charcoal grilling and features a top-secret marinade that keeps people coming back. Sample menu at Jano: Portuguese green cabbage soup (Caldo Verde), grilled sardines, sweet peppers, grilled trout and red seabream, grilled lamb cutlets, grilled Portuguese sausages, crème caramel (pudim flan), etc...show more"
28,15,"$ (less than $20), $$ ($20 to $30)",,"Our goal: Deliver a “bang” experience for all customers! On the menu: a casual atmosphere, but mostly a variety of exceptional sushis available in store or at home with delivery. With 18 restaurants all over the province of Quebec, Sushi Taxi works in order to be always more connected to its clients and commits to grow in a sustainable way.show more"
29,14,"$$ ($20 to $30), $$$ ($30 to $45)",,"Rosso Cielo is located on the second floor of the Courtyard hotel, just a few steps from Bell Square and Montmorency metro station. We serve breakfast, lunch, and dinner.show more"
30,14,"$$$ ($30 to $45), $$$$ (over $45)",,"Mythik is a trendy restaurant and bar that invites lovers of fine dining to take a seat in a chic setting promising a lively ambiance reminiscent of the most popular speakeasy lounges. The “farm-to-table” à la carte menu features a selection of individual plates, all beautifully created to highlight some of Montreal’s best local products. Enjoy signature cocktails carefully mixed, stirred or shaken to your taste by our talented team of mixologists. Wine lovers can choose from a selection of over 800 bottles.show more"
31,21,"$$$ ($30 to $45), $$$$ (over $45)",,"Discover 40 Westt, in Montreal’s West Island. Located Minutes from the airport and in close proximity to the downtown core, our establishment offers the finest CANADIAN Prime beef on the market. We dry age the beef in our own meat lockers for a period of 28-35 days, on display for all of our guests to see. 40 Westt also offers great martinis, an affordable lunch table d’hote, as well as impressive jazz performances on the weekends. Whether you’re looking for the best steak around, fresh shucked oysters, sinful desserts and/or an evening of entertainment, 40 Westt has all of the ingredients for an unforgettable experience.show more"
32,36,$ (less than $20),,"On the menu you will find a choice of fresh products, cooked in accordance with the authentic taste and fish recipes from around the world.
Do not hesitate to contact us for more information.show more"
33,18,$ (less than $20),,At Munchiz you can find completely unique snacks that come from all over the world with insane flavors!show more
34,15,"$ (less than $20), $$ ($20 to $30)",,"Sésame offers a concept unique in its kind: an out of the ordinary variety of high quality Asian dishes to enjoy in a warm atmosphere.   From the Pad Thai to the General Tao poutine, or one of the various wok sautées, you can eat your meal on site or take it to go.  Additionally, Sésame offers a wide selection of loose teas, several privately imported wines, beers on tap, a wide selection of sake, but especially, a menu of exclusive Sésame cocktails.show more"
35,6,"$$ ($20 to $30), $$$ ($30 to $45)",,"The first family restaurant to open in the Montérégie region, the SHAKER St-Hyacinthe has been welcoming its customers since July 2018.  Taking place in the premises of the former restaurant La Cage - Brasserie Sportive, there are 225 seats, including around forty around its central bar in addition to its terrace which offers 60 seats.  The SHAKER St-Hyacinthe has a large, convivial table called ""Le Bordel"".  It is a real central meeting point, allowing several groups to be accommodated simultaneously without a reservation.BE FABULOUS!show more"
36,18,$ (less than $20),,"We are proud to offer a modern public house the respects the rich history of this heritage building. Located in Downtown Montreal, McLean's Public House offers a cozy atmosphere, big screen TV's for sports fans, great food and excellent service with a very friendly staff.show more"
37,24,"$$ ($20 to $30), $$$ ($30 to $45)",,"Located in Verdun, la Bêtise is the result of four friends who were wondering how to enhance food and wine pleasures.  The tapas lounge-bar formula was created to offer an extraordinary evening to enthusiasts of culinary experiences: explosive tapas for all pallets, inventive main dishes, elaborate and original wine and cocktail list. You can share and explore classics that are adapted to fine cuisine in a warm and relaxed atmosphere.  La Bêtise is the ideal place for a good time.show more"
38,41,"$$ ($20 to $30), $$$ ($30 to $45)",,"État-Major restaurant is located on Ontario Street near Jeanne d'Arc, in the Hochelaga-Maisonneuve district. This beautifully decorated restaurant with a cozy atmosphere will allow you to evade the bustle of the big city. Come savor its delightful French cuisine, made with fresh market ingredients. The varied and exciting menu offers a choice of fish, meat, foie gras, and different main dishes, including a delicious duck an exquisite beef strip loin. Be sure to bring your favorite bottle of wine to accompany your culinary experience. One visit will have you convinced!show more"
40,10,$$$ ($30 to $45),,"Nestled in the heart of the West Island; La Verità is an Italian fine dining experience that is bound to impact your senses. Our focus is to ensure our clients delight with the restaurant's modern Italian cuisine, while surrounded by a warm and trendy decor. A relaxed atmosphere is what has allowed La Verità to be the new trend in upscale dining. Our experienced and devoted staff will go the distance when it comes to professional, friendly service, combined with a dining experience beyond your expectations. To establish a comfort for our clientele, signature dishes have become a staple on our table d'hôte menu; our chef's flair and creativity allows us the opportunity to constantly incorporate new experiences to satisfy the adventurous palate. The dining experience at La Verità is never unvaried, with a menu that changes weekly. Choices feature a wide variety of pastas, risottos, poultry, meats, fresh fish, and so much more.show more"
41,38,"$ (less than $20), $$ ($20 to $30)",,"L'Ambroisie and L'Espace Canal are located in the courtyard of Chateau St-Ambroisie, a historical heritage building situated on the edge of the Lachine Canal in the St-Henri district of Montreal. Only a few minutes from downtown, the restaurant welcomes a business clientele and groups of friends, in a casual atmosphere. Stuart Abrams, chef and owner, invites you to discover his establishment, renowned for its terraces and elegant reception rooms.show more"
42,12,"$$ ($20 to $30), $$$ ($30 to $45)",,"Mista is located in the heart of charming Old Beloeil, near the Richelieu River.   The menu is made up of inventive Italian cuisine dishes that push the envelope of today’s culinary trends.  Inside the restaurant you will find a warm and cozy ambiance that is the envy of many restaurateurs.show more"
43,15,"$ (less than $20), $$ ($20 to $30)",,"Sésame offers a concept unique in its kind: an out of the ordinary variety of high quality Asian dishes to enjoy in a warm atmosphere.   From the Pad Thai to the General Tao poutine, or one of the various wok sautées, you can eat your meal on site or take it to go.  Additionally, Sésame offers a wide selection of loose teas, several privately imported wines, beers on tap, a wide selection of sake, but especially, a menu of exclusive Sésame cocktails.show more"
44,24,"$ (less than $20), $$ ($20 to $30)",,"Le Shack du Pêcheur is a fish restaurant located on Lionel-Daunais street in Boucherville.  On the menu you will find a choice of fresh products, cooked in accordance with the authentic taste and fish recipes from around the world.  Do not hesitate to contact us for more information.show more"
45,16,"$$ ($20 to $30), $$$ ($30 to $45)",,"Korean based fusion BAR right in the center of Montreal Downtown. Cool stop for Korean fare including bulgogi nachos, chicken wings & sashimi, with hip ceiling decor.show more"
46,28,"$$ ($20 to $30), $$$ ($30 to $45)",,"Friendly restaurant where the service and the pleasures of wine are in the spotlight, bistro and wine bar Les Cavistes on Fleury West, in the heart of the Ahuntsic district, offers a cozy bistro inspired cuisine tinged with Quebecois pride. Our privately imported wines are not found at the SAQ.show more"
47,17,$ (less than $20),,"Welcome to Pub BreWskey, the neighborhood pub in Old Montreal! 
Initiated by three friends passionate about gastronomy, beer, and whisky, the BreWskey project came to life in 2015 with the opening of its first establishment. Focusing on our house-brewed beers, a refined selection of whiskies, and comforting pub cuisine, our pub embodies the simplicity of the principle that we offer you the products and service we would appreciate as customers.  At the pub, you have access to our on-site brewed beers through 20 draft lines, in addition to a wide selection of carefully chosen whiskies and other premium spirits. Our pub, the most ""intimate"" among our three locations, provides a warm atmosphere perfect for small groups. In the summer, enjoy our spacious terrace on Saint-Paul Street and soak in the atmosphere of Old Montreal!show more"
48,10,"$$ ($20 to $30), $$$ ($30 to $45)",,"YEN Cuisine Japonaise, a hidden restaurant in heart of downtown Montreal combines traditional Japanese cuisine with a contemporary gastronomy experience, all within an intimate yet sophisticated ambiance.show more"
49,26,"$ (less than $20), $$ ($20 to $30)",,"Restaurant Akwaba, which means Welcome, is located in the Rosemont-Petite-Patrie district of Montreal.  Akwaba proposes a culinary journey combining African and Greek treats with a modern and original touch within a pleasant, warm and welcoming atmosphere.  At Akwaba, we offer traditional African dishes such as Kédjénou (stewed chicken), variants of choukouya (beef, lamb, goat or chicken breast braised with a mix of African and Greek spices (kankankan) onions and peppers), Yassa (chicken or lamb cooked in an onion-lemon-mustard sauce), Mafé, Tiep bou dienn or yap, braised marinated fish, the unforgettable Alloko (fried plantains), attiéké (cassava couscous) and much more ..., traditional Greek dishes such as Moussaka, etc. and dishes resulting from the fusion of the two such as African Souvlaki etc ...  Indeed, the chef and owner is very knowledgeable in African and Greek cuisine. He was previously a restaurant owner and chef in Greece. He has worked closely with many great African and Greek chefs and has an excellent command of both cuisines.  The Akwaba concept aims, on the one hand, to increase awareness by promoting the true flavors of authentic African cuisine in all its dimensions and on the other hand, to introduce ingredients of African cuisine in a few Greek recipes: thus, the potato is replaced by the yam (sweet potato) in the Greek Moussaka, tuna is substituted by salmon in the Bassamoise Salad etc. The addition of cress to the ingredients of this salad brings out a special taste that is very appreciated (it is the Queen of our salads). Furthermore, all our salads are seasoned with home-made vinaigrettes made with extra virgin olive oil from Kalamata (Greece).  Dessert includes, among other things, Pineapple Chutney Crêpes cake with Pinacolada sauce, the comforting Akwaba pie served with lime sorbet, dêghê, Baklava (Greek) etc.  At Akwaba, the freshness of the food is essential. Come with your friends or family, many pleasant surprises are waiting for you.  Akwaba, Bienvenue, Welcome, Kalos Irthateshow more"
50,14,"$ (less than $20), $$ ($20 to $30)",,"Allô mon Coco invites you to enjoy a sparkling brunch experience in a family-friendly and comforting atmosphere. Come share memorable moments with your loved ones over the best meal of the day: breakfast. Located near Carrefour Angrignon, come try our morning specialties—our hearty sweet and savory brunch plates, delicious eggs Benedict, and decadent waffles and cocos, not to mention the famous Allô mon Coco potatoes! Also, discover our lunch offerings, perfect for a meal with colleagues. Pair it all with a refreshing mimosa, smoothie, or milkshake!show more"
51,19,"$$ ($20 to $30), $$$ ($30 to $45)",,"Bagatelle Bistro is how we like our neighborhood bistros to be. Nicely located close to the Maisonneuve Market, Bagatelle Bistro is a Bring Your Own Wine restaurant which offers tasty cuisine with Mediterranean accents. On a daily basis you will find that in addition to the à la carte menu, the chef prepares delicious dishes packed with fresh produce, which vary according to the seasons and market arrivals. Bagatelle Bistro is also very popular for brunch on weekends. During the summer, grab a spot on the lovely terrace to enjoy the breeze and the sun!show more"
52,15,"$$$ ($30 to $45), $$$$ (over $45)",,"« Seaside seafood shack meets Prime USDA steakhouse. Raw bar, $1 oysters, 3 season patio, warm vibe, chilled staff.  It’s always the weekend at Lucille's. »show more"
53,27,"$ (less than $20), $$ ($20 to $30)",,"It is with great pride and pleasure that we welcome you to Guacamole y Tequila, a Mexican cuisine restaurant where at each visit, the authentic taste of Mexico is served!  At Guacamole y Tequila, you will enjoy discovering Mexico’s rich culinary diversity; handmade meals, typical ingredients, eccentric cocktails, in short, a taste that will remind you of your last vacation, all in a warm and friendly atmosphere with a ""Hecho in Mexico"" decor! We know that Mexico is a favorite holiday destination for Quebecers, but in our hearts, we want Guacamole y Tequila to become your dining destination in Magog!  Buen provencho! P. S. Mi casa es tu casashow more"
54,17,"$$ ($20 to $30), $$$ ($30 to $45)",,"Le Virunga Restaurant is the story of two people, passionate about African culture, who invite you to discover the gastronomy of this continent that they hold dear.  Through traditional African recipes that have been reinvented, we assist you in sampling the typical flavors of Sub-Saharan Africa.  Both simple and creative, this cuisine reflects a respect for products and especially for gastronomy.  Le Virunga welcomes you in a warm and friendly atmosphere, with professional service.  It is their pleasure to welcome you and give you a unique culinary experience.show more"
55,10,"$ (less than $20), $$ ($20 to $30)",,"Sésame offers a concept unique in its kind: an out of the ordinary variety of high quality Asian dishes to enjoy in a warm atmosphere.   From the Pad Thai to the General Tao poutine, or one of the various wok sautées, you can eat your meal on site or take it to go.  Additionally, Sésame offers a wide selection of loose teas, several privately imported wines, beers on tap, a wide selection of sake, but especially, a menu of exclusive Sésame cocktails.show more"
56,16,"$ (less than $20), $$ ($20 to $30)",,Restaurant in the heart of the Plateau Mont-royal. We can't wait to introduce you to our Italian specialty. Panuozzo bread made here by hand every day. No sandwich compares to this Neapolitan sandwich. With us everything is homemade.show more
57,22,$$ ($20 to $30),,"Bravi Restaurant is located in the heart of Longueuil's restaurant district. Bravi offers its customers delicious and creative Italian cuisine specializing in homemade pastas, wood oven pizza and a variety of meats and seafood. The kitchen is headed by co-owner and executive chef, Mario Onesta. With passion, Chef Onesta delivers a true taste of Italy. Chef Onesta and his team create original dishes that express authenticity and refinement at affordable prices in a modern and comfortable ambiance You can have confidence in Co-owner, Raymond Caldareri, in recommending you among our wine selection.show more"
58,20,"$$ ($20 to $30), $$$ ($30 to $45)",,"Discover Le Passé Composé, a gourmet French brunch restaurant located in the heart of Old Montreal. A must-visit for brunch enthusiasts, this spot reinvents the classics with a bold and creative menu.
Led by Chef Arnaud Glay, renowned for his signature poached eggs, Le Passé Composé unveils an all-new concept that is sure to delight your taste buds. An unforgettable brunch destination not to be missed!show more"
59,6,"$$ ($20 to $30), $$$ ($30 to $45)",,"Friendly and always busy, this neighborhood gem has two addresses with a tasty and comforting menu, cooked with care by its owners Francine Brûlé and Serge Bruneau who receive each customer like at home. In a setting where nostalgia and innovation are intertwined with finesse, we invariably find a warm atmosphere, vibrant and unpretentious.show more"
60,16,"$ (less than $20), $$ ($20 to $30)",,"La Banquise, originally a small ice-cream shop, first opened its doors in May 1968. In fall of the same year, its founder, local fireman Pierre Barsalou, decided to transform the enterprise into a 24-hour snack bar. At the time it specialized in exceptionally good hot-dogs and great fries. Poutine first appeared on the menu at the start of the 80s and originally just two varieties were offered, classic and Italian. However, in response to repeated requests from very satisfied customers, the restaurant’s poutine varieties quickly multiplied. Today we offer no less than 25 different types of poutine. Today, La Banquise remains a family business. Mr. Barsalou’s youngest daughter Annie took over in the 1990s along with her partner Marc Latendresse. Together, they maintain both the tradition of quality and the excellent reputation of the La Banquise Restaurant. In summer 2006, La Banquise underwent major renovations and a much larger dining area was made available. 40 years on, La Banquise is now much more than a simple snack bar or poutine joint. Today it is also a warm, friendly venue where customers can enjoy micro-brewery beers, a complete menu du jour and excellent breakfasts. So here’s to you, our loyal customers, the night owls, the groups of friends, the workers, students, families and more, because all of you have contributed to shaping and enriching the success story that is La Banquise today. Many, many thanks.show more"
61,11,"$$ ($20 to $30), $$$ ($30 to $45)",,"A favourite amongst Montreal’s foodies, BEVO Bar + Pizzeria invites you for some fine Italian dining, original cocktails and a fresh ambiance. Seven days a week, chef Giovanni Vella cooks up traditional Italian flavours with a few signature twists. The restaurant’s specialty: authentic wood-fired pizza.
Two spacious floors, a fully stocked bar and convivial seating set the stage for an enjoyable meal every night in Old Montreal. Aperitivo Happy Hours come to life with special deals on drinks from 4 to 7 p.m., and every weekend our DJs bring a musical vibe to the place with freshly baked pizza until the end of the evening on Fridays and Saturdays.
During the summer, you can lounge on the terrace sitting right on Saint-Vincent Street – a pedestrian stretch bustling with friendly locals and artists.
The BEVO famiglia will be expecting you with a tasty Italian meal. Buon appetito!show more"
62,36,"$ (less than $20), $$ ($20 to $30)",,"Perfect place to meet up with friends and enjoy a good signature cocktail. Pot Masson is constantly on the lookout for new flavors in order to offer its customers fresh, contemporary meals.show more"
63,30,"$ (less than $20), $$ ($20 to $30)",,"Come and discover fresh, high quality ""all you can eat"" Sushi & Asian cuisine with attentive service at Taiyo Sushi in Longueuil!show more"
64,16,$ (less than $20),,Quick little trip to Asia? Why not! Vua Sandwiches offers you the opportunity to experience the delights of Asia with items already prepared for take out or can be prepared fresh right in front of you!show more
65,25,$$ ($20 to $30),,"Sukho Thaï restaurant is located on the Promenade du Centropolis in the Chomedey district of Laval. This restaurant offers delicious Korean and Thai specialties.   It is in a grandiose setting that the Sukho Thaï team are quick to respond to your needs, offering their best recommendations of the day. In addition, the extensive menu allows you to enjoy fine food at very reasonable prices! Appetizing dishes are presented with art and taste. To be served grilled beef on a volcanic rock is indeed a meal out of the ordinary!   Sukho Thaï is the perfect place for a romantic or business, or for any important event.  You will be delighted with your experience in this trendy and nicely decorated spot, all in a pleasant and relaxed atmosphere.   Come try one of the best Thai restaurants in Laval.show more"
66,15,$ (less than $20),,"Piri Piri invites you in one their restaurants located on one of Montreal’s famous and lively street: Chemin de la Côte-des-Neiges. Come and discover tasty and delicious Portuguese grilled chicken in an exotic and multicultural neighborhood. You will get an affordable trip around the world right next door! With more than 160 different ethnical origins, this area is the perfect spot to discover and taste new culinary flavors. The brand new branch Piri Piri is perfectly fitting this urban environment and will be thrilled to serve you one of the best grilled chickens in the city!show more"
67,36,$ (less than $20),,"At Cocomania, we work hard to make our restaurant a place where you feel at home. Our menu offers a wide variety of choices with our freshly squeezed juices, our milkshakes and smoothies made with fresh fruit! Our passion is to set up hearty dishes that satisfy you for the whole day! For your sweet tooth, we offer Nutella in some of our meals, delicious lunches made with fresh, quality ingredients and a special menu for our customers intolerant to gluten. Do not forget our spacious area to reserve your precious event. Every customer is important, each dish is prepared with precision and each service requires a smile! Let's be honest ... an exceptional morning experience does not only begin with a simple breakfast, but also with a friendly service! We have customer satisfaction at heart, especially with regards to service and quality of food. We created a family environment and a pleasant atmosphere for both our team and our clients. We add a personal touch to everything we do! Baked bagels on site, homemade desserts and a new soup every day. We are a team with ambition, tenacity and willing to go beyond the expectations of our customers!show more"
68,22,"$ (less than $20), $$ ($20 to $30)",,"Le Vice-Caché is a bistro restaurant in Assomption which offers a tapas menu, with modern inspirations. Our discovery-style menu encourages the tasting of small dishes to allow you to plunge into vice without any remorse. With creativity, our chefs offer you a trendy menu with unique flavors.
The richness of our bistro menu and the diversity of fresh, quality products will delight your taste buds. Varying the menu according to the seasons and our daily inspirations, each of your visits will give you a completely new experience. Located 3 minutes walk from the Hector-Charland theater.show more"
