id,amount_pictures,address,average_price,features,description
11,0,"975 Roméo-Vachon N, West Island, H4Y 1H1","$$ ($20 to $30), $$$ ($30 to $45)",,"Houston Avenue Bar & Grill is pleased to welcome you to our world! We invite you to join us on a culinary adventure that is sure to please even the most discriminating palate. With our decidedly urban upscale vibe, you will discover a great new place to meet friends and family in style. From fabulous appetizers, innovative seafood and salads to our signature steaks and ribs, come enjoy a freshly prepared, simply delicious cuisine - all with a houston flavour. Our team looks forward to your visit!show more"
12,27,"395 Rue Lamontagne, Saint-Jérôme, J7Y 0L7",$ (less than $20),,"THE CONCEPT The Victoria experience, discover, taste, take-out and share. The Victoria experience consists of finding a restaurant with counter and drive-through service, a complete dairy bar and a cheese and homemade products counter all under one roof.  FAST FOOD The variety of our fast food menu is one of the many things that sets us apart from our competitors. You can have breakfast, lunch, dinner or the lunch menu served on weekdays. Our poutine, particularly famous for the abundance and size of the cheese grains is featured.show more"
13,14,"415 Rue Principale, Saint-Sauveur, J0R 1R5",$$ ($20 to $30),,"Located on one of Saint-Sauveur’s most beautiful sites the Feliciano offers fine cuisine in a decor that is both lavish and warm.  The owners, Nicole and Alberto, invite you to a true culinary journey inspired by a varied menu and your favorite wine.  In summer, the Feliciano Restaurant welcomes you to the most spacious terrace in the Laurentians.  Enhanced by a beautiful fountain, the ambiance and comfort of the place promise you an enchanting Mediterranean crossing.show more"
14,0,"744 Boulevard Curé-Labelle, Blainville, J7C 2K3",$$ ($20 to $30),,"With over ten years of experience, Chef Somboun Norindr offers traditional Thai cuisine without American adaptation. Dishes seasoned with coriander, ginger, curry or lemongrass and soups with coconut milk. There are also classics such as Pad Thai, Thai rolls and desserts. The first restaurant using peanut sauce in Montreal in 1986!show more"
15,45,"778 Rue St-Pierre, Terrebonne/Lachenaie, J6W 1E4","$$ ($20 to $30), $$$ ($30 to $45)",,"The chef lets you discover her gastronomic skills with the right cuisine accompanied with textures chosen carefully with the seasonal products.  A place where you can have a sumptuous meal in a sieved lighting. We do our best in giving you an unforgettable culinary experience.  Whether it is for a meal with friends or for a group, contact us to make a reservation at Chez Fabien restaurant in the Vieux-Terrebonne.show more"
16,33,"3817 Rue Saint-Denis, Montreal, H2W 2M4",$ (less than $20),,"Bistro l'Evidence welcomes you in a warm and intimate French-style Brasserie. Located in the heart of Montreal, on St-Denis Street between le Plateau Mont-Royal and the Latin Quarter, this is the perfect place to start the day with a breakfast of champions or to start the evening with quality flavors. L'Evidence offers a complete menu, a la carte as well as table d'hôte. We prepare traditional and healthy recipes with fresh products, regularly varying our table d'hôte based on market arrivals. Enjoy a fresh, original, contemporary cuisine whose variety will appeal to everyone. Our chefs pay special attention to the preparation of dishes that are on offered each day, to ensure that the culinary artworks mingled with the friendly atmosphere meet your expectations, both in terms of quantity and quality. The outdoor terrace in the heart of Le Plateau and the segmentation of the interior room make it an ideal location both for brunch or to organize private and professional events. Thus, whether for a stopover, a lunch, a dinner, a drink or even for a group celebration, here you will find the what you need.show more"
17,0,"1283 Rue Beaubien E, Montreal, H2S 1V1",$ (less than $20),,"You will be delighted with Itamea Sushi. The menu offers quality meals that are flavorful and attractive. The sushi, soups and salads as well as the combos are all made daily using fresh ingredients. Enjoy your meal!show more"
18,21,"1348 Rue Fleury E, Montreal, H2C 1R3",$$ ($20 to $30),,"A unique dinner-show in Montreal in a calm and intimate atmosphere. Come taste and savor our tea-based dishes. We offer an a la carte menu as well as a table d'hôte menu at lunch and dinner every day. You can also explore the boutique where you'll find a large assortment of imported teas from China, Japan and India, Russian porcelain and a large selection of Japanese teapots. Everything to satisfy you!show more"
19,38,"65 Rue de la Rive Droite, Bromont, J2L 0A3","$$ ($20 to $30), $$$ ($30 to $45)",,Buvette - Wine bar - Cellar - Shopshow more
20,15,"2915 Promenade St-Antoine, Boisbriand, J7H 1M9","$$ ($20 to $30), $$$ ($30 to $45)",,"Le Balthazar Resto Pub specializes in microbrewery beers with the largest selection of exclusively Quebecois draft beers.  In addition to the warm atmosphere, Le Balthazar constantly welcomes different beers, to the delight of beer lovers who can discover local products. Also try the new dishes from our resto pub while enjoying the shows and our famous 4 a 7 Happy Hour.show more"
21,28,"2199 Rue Ste-Catherine E, Montreal, H2K 2H9",$ (less than $20),,"We are in the fall of 2019.  While most ducks have taken flight to escape the Quebec winter, some more daring ones have decided to stay and take flight in a different way.  Why not start a café?  It's inspiring, comforting, warm and (definitely) ambitious!  Well, that's what Pierre and Amélie decided to do after several years of working alone, each on their own, because two is always better (especially when you decide to open a café)!show more"
22,24,"5220 Boulevard Décarie, Montreal, H3X 2H9","$$ ($20 to $30), $$$ ($30 to $45)",,"Discover Trattoria Cinecitta! Its new management has made this restaurant known for its fine cuisine. Trattoria Cinecitta offers a savoury Italian & Mediterranean cuisine where you will find a wide variety of grilled meats, seafood and fresh fish. Notable also is our Osso Bucco. You will be delighted by our courteous staff, which will help you take advantage of our daily lunch specials or the table d'hôte menu offered in the evening. Enjoy our musical Saturday nights and take pleasure in the most refined wines, by glass or by bottle, mentioned in our extensive reasonably priced wine list. Come live an incredible culinary experience at Trattoria Cinecitta, which is widely appreciated and often recommended by our regular patrons. Free parking, located in the back of the restaurant, is easily accessible by Isabella Street, west of Décarie Blvd. Reserve without delay to organize your private parties and be assured that you will spend unforgettable moments at the restaurant! See our coupon for party organizers.show more"
23,19,"1223 Rue du Square-Phillips, Montreal, H3B 3E9",$ (less than $20),,"Since 1984 clients have been coming to Il Focolaio to get that authentic Italian taste that is reminiscent of their grandmother’s cooking. Il Focolaio, in fact means fireplace in Italian. The name depicts the maple wood burning oven where each and every one of our pizzas and roasted ingredients are cooked. Our fireplace, as in the old country, not only brings forth the food but also becomes the gathering place for our clients who always feel welcomed and right at home. Our recipe for success is simple, serving up pizza using ingredients that only a true pizzaiolo would use, such as extra virgin olive oil, top quality tomatoes and only the freshest ingredients, all prepared with passion and a love for cooking to bring you the end result that you will never forget. We invite you to come and enjoy the taste of Italy with a nice glass of wine from our wine list. Enjoy it all on our terrace in the middle of downtown during the summer months.show more"
24,28,"1124 Avenue Laurier O, Montreal, H2V 2L4","$$ ($20 to $30), $$$ ($30 to $45)",,"The Côba Sushi is located on the very trendy Laurier Street, in Outremont. If you are looking for refined Asian cuisine, at the Cô Ba you will taste your way around Asia! Whatever specialty you decide to choose from, Thai, Vietnamese or their delicious sushis, each bite will be a discovery.  Enjoy your meal in a very nice ambiance, especially, when in summertime, the windows are wide open, giving you the feeling of outdoor dining.  Celebrate any event or gather with friends or with family, their accommodating staff will help you to choose from the array of dishes, in order to create a personalized menu, which will reflect your taste and style. Côba Sushi also offers the practical take-out and delivery services. Don’t wait any longer, book and enjoy an awesome evening!show more"
25,0,"1720 Avenue des Lumières #5, Brossard, J4Y 0A5",$$$ ($30 to $45),,"L'Aurochs serves you premium quality CAB certified beef cuts prepared with great care. Bavette, ribeye, T-bone, cowboy, they are all there.  Not only do the chefs use quality local products, but the methods of cooking and preserving them make all the difference.show more"
26,17,"4708 Boulevard Saint-Jean, West Island, H9H 4B2",$ (less than $20),,"A popular spot with delicious ""Smash Burgers"" and Shakes.
Eat in, order for takeout or have it delivered with your favourite app.show more"
27,16,"290 Boulevard St-Luc, Saint-Jean-sur-Richelieu, J2W 2A3",$$$ ($30 to $45),,"Satori sushi is a restaurant specializing in Japanese cuisine, located in Saint-Jean-sur-Richelieu (in the Saint-Luc district).  We are proud to offer our customers a high quality dining experience in a modern setting.show more"
28,0,"48 Rue du Prince, Sorel-Tracy, J3P 4J5","$$ ($20 to $30), $$$ ($30 to $45)",,"In the spring of 2025, the 21st Shaker Cuisine & Mixologie location will open in Sorel-Tracy! Established in the former Quartier Général, the building will be renovated to showcase our signature industrial-chic decor. This location will have everything to delight you, from delicious cocktails to tartares and gourmet burgers!show more"
29,31,"3237 Boulevard des Sources, West Island, H9B 1Z6","$ (less than $20), $$ ($20 to $30)",,"Elixor offers you a truly exotic culinary fairy tale that will fulfill all your 5 senses. For business or for pleasure, Elixor allows you to escape the stresses of everyday life by enticing you with a gastronomical experience like no other. Our wonderful desserts will surely fulfill your ""sweet tooth"" with over 30 cheesecakes on display. Every ingredient used in the preparation of all our dishes are prepared fresh daily and ""in house"".  Quality means freshness. Its fresh 100% AAA Angus Pride Beef perfectly grilled or our daily baked cheesecakes. Quality is premium ingredients that we use to make all of our in-house dressings. At Elixor, we continuously strive for excellence and it shows.  Love for food. Love for people. It’s our duty to make your dining experience an unforgettable one. Pride in what we do. You're not our client. You're our guest. We will attend to your dining experience with an unparalleled degree of care and you will always leave with a smile.  Welcome to Elixor and allow us to transport you to a world of culinary delight.show more"
30,56,"555 Rue Chabanel O #07, Montreal, H2N 2H7","$ (less than $20), $$ ($20 to $30)",,"Welcome to Cafe MIDTOWN, a haven of culinary refinement nestled in the heart of Montreal, in the emblematic 555 Midtown building founded in 1982. Our establishment offers a high-end gastronomic experience at affordable prices. Each dish we serve is inspiring, original and demonstrates our commitment to excellence and the freshness of the ingredients we use.
In addition to our specialties, explore our other carefully crafted menus. Discover our exceptional coffees, let yourself be seduced by our artisanal creations of sandwiches, our desserts, and pastries. Also succumb to our fresh salads, prepared with passion recipes to guarantee optimal quality. We invite you to join us for an experience where every bite tells a story of culinary passion. Join us for an experience where elegance and flavors intertwine harmoniously, making Restaurant Le 555 Midtown an exceptional place to absolutely discover in Montreal.show more"
31,30,"2480 Chemin de Chambly, Longueuil, J4L 3Y4","$ (less than $20), $$ ($20 to $30)",,"Come and discover fresh, high quality ""all you can eat"" Sushi & Asian cuisine with attentive service at Taiyo Sushi in Longueuil!show more"
32,0,"123 Rue des Forges, Trois-Rivières, G9A 2G7","$ (less than $20), $$ ($20 to $30)",,"Come and have fun in a relaxed atmosphere!The Randolph Pub Ludique Trois-Rivières invites you to play a host of games, offered and explained by our passionate entertainers. To make the experience more complete, our waiters and waitresses will come to see you to offer you something to eat and drink. Try our microbrewery beers, cocktails and potions while enjoying a variety of appetizers and dishes prepared by our experienced staff.show more"
33,18,"16877 Boulevard Hymus, West Island, H9H 3L4","$ (less than $20), $$ ($20 to $30)",,"DAWAT has built a name for itself catering for weddings over the years, we have now opened up a take-out restaurant for all to enjoy :) DAWAT mission is to bring you quality food at a low price. By cutting out most overhead costs and buying in bulk, we guarantee the best bang for you hard earned buck.show more"
